"Time","CPU Cost","Memory Cost"
2024-08-07 20:38:15,$0.0443,$0.0059
2024-08-07 20:38:30,$0.0443,$0.0059
2024-08-07 20:38:45,$0.0443,$0.0059
2024-08-07 20:39:00,$0.0443,$0.0059
2024-08-07 20:39:15,$0.0443,$0.0059
2024-08-07 20:39:30,$0.0443,$0.0059
2024-08-07 20:39:45,$0.0443,$0.0059
2024-08-07 20:40:00,$0.0443,$0.0059
2024-08-07 20:40:15,$0.0443,$0.0059
2024-08-07 20:40:30,$0.0443,$0.0059
2024-08-07 20:40:45,$0.0443,$0.0059
2024-08-07 20:41:00,$0.0443,$0.0059
2024-08-07 20:41:15,$0.0443,$0.0059
2024-08-07 20:41:30,$0.0443,$0.0059
2024-08-07 20:41:45,$0.0443,$0.0059
2024-08-07 20:42:00,$0.0443,$0.0059
2024-08-07 20:42:15,$0.0443,$0.0059
2024-08-07 20:42:30,$0.0443,$0.0059
2024-08-07 20:42:45,$0.0443,$0.0059
2024-08-07 20:43:00,$0.0443,$0.0059
2024-08-07 20:43:15,$0.0443,$0.0059
2024-08-07 20:43:30,$0.0443,$0.0059
2024-08-07 20:43:45,$0.0443,$0.0059
2024-08-07 20:44:00,$0.0443,$0.0059
2024-08-07 20:44:15,$0.0443,$0.0059
2024-08-07 20:44:30,$0.0443,$0.0059
2024-08-07 20:44:45,$0.0443,$0.0059
2024-08-07 20:45:00,$0.0443,$0.0059
2024-08-07 20:45:15,$0.0443,$0.0059
2024-08-07 20:45:30,$0.0443,$0.0059
2024-08-07 20:45:45,$0.0443,$0.0059
2024-08-07 20:46:00,$0.0443,$0.0059
2024-08-07 20:46:15,$0.0443,$0.0059
2024-08-07 20:46:30,$0.0443,$0.0059
2024-08-07 20:46:45,$0.0443,$0.0059
2024-08-07 20:47:00,$0.0443,$0.0059
2024-08-07 20:47:15,$0.0443,$0.0059
2024-08-07 20:47:30,$0.0443,$0.0059
2024-08-07 20:47:45,$0.0443,$0.0059
2024-08-07 20:48:00,$0.0443,$0.0059
2024-08-07 20:48:15,$0.0443,$0.0059
2024-08-07 20:48:30,$0.0443,$0.0059
2024-08-07 20:48:45,$0.0443,$0.0059
2024-08-07 20:49:00,$0.0443,$0.0059
2024-08-07 20:49:15,$0.0443,$0.0059
2024-08-07 20:49:30,$0.0443,$0.0059
2024-08-07 20:49:45,$0.0443,$0.0059
2024-08-07 20:50:00,$0.0443,$0.0059
2024-08-07 20:50:15,$0.0443,$0.0059
2024-08-07 20:50:30,$0.0443,$0.0059
2024-08-07 20:50:45,$0.0443,$0.0059
2024-08-07 20:51:00,$0.0443,$0.0059
2024-08-07 20:51:15,$0.0443,$0.0059
2024-08-07 20:51:30,$0.0443,$0.0059
2024-08-07 20:51:45,$0.0443,$0.0059
2024-08-07 20:52:00,$0.0443,$0.0059
2024-08-07 20:52:15,$0.0443,$0.0059
2024-08-07 20:52:30,$0.0443,$0.0059
2024-08-07 20:52:45,$0.0443,$0.0059
2024-08-07 20:53:00,$0.0443,$0.0059
2024-08-07 20:53:15,$0.0443,$0.0059
2024-08-07 20:53:30,$0.0443,$0.0059
2024-08-07 20:53:45,$0.0443,$0.0059
2024-08-07 20:54:00,$0.0443,$0.0059
2024-08-07 20:54:15,$0.0443,$0.0059
2024-08-07 20:54:30,$0.0443,$0.0059
2024-08-07 20:54:45,$0.0443,$0.0059
2024-08-07 20:55:00,$0.0443,$0.0059
2024-08-07 20:55:15,$0.0443,$0.0059
2024-08-07 20:55:30,$0.0443,$0.0059
2024-08-07 20:55:45,$0.0443,$0.0059
2024-08-07 20:56:00,$0.0443,$0.0059
2024-08-07 20:56:15,$0.0443,$0.0059
2024-08-07 20:56:30,$0.0443,$0.0059
2024-08-07 20:56:45,$0.0443,$0.0059
2024-08-07 20:57:00,$0.0443,$0.0059
2024-08-07 20:57:15,$0.0443,$0.0059
2024-08-07 20:57:30,$0.0443,$0.0059
2024-08-07 20:57:45,$0.0443,$0.0059
2024-08-07 20:58:00,$0.0443,$0.0059
2024-08-07 20:58:15,$0.0443,$0.0059
2024-08-07 20:58:30,$0.0443,$0.0059
2024-08-07 20:58:45,$0.0443,$0.0059
2024-08-07 20:59:00,$0.0443,$0.0059
2024-08-07 20:59:15,$0.0443,$0.0059
2024-08-07 20:59:30,$0.0443,$0.0059
2024-08-07 20:59:45,$0.0443,$0.0059
2024-08-07 21:00:00,$0.0443,$0.0059
2024-08-07 21:00:15,$0.0443,$0.0059
2024-08-07 21:00:30,$0.0443,$0.0059
2024-08-07 21:00:45,$0.0443,$0.0059
